timestamp;node;renewable_share;score;pods
2021/10/14 10:37:26 ;ip-172-20-73-221.ec2.internal;2625.90;5;0
2021/10/14 10:37:26 ;ip-172-20-49-155.ec2.internal;4581.00;10;1
2021/10/14 10:37:26 ;ip-172-20-58-122.ec2.internal;16.30;0;0
2021/10/14 10:38:26 ;ip-172-20-58-122.ec2.internal;31.30;0;0
2021/10/14 10:38:26 ;ip-172-20-73-221.ec2.internal;1447.60;6;0
2021/10/14 10:38:26 ;ip-172-20-49-155.ec2.internal;2261.20;10;1
2021/10/14 10:39:26 ;ip-172-20-58-122.ec2.internal;81.00;0;0
2021/10/14 10:39:26 ;ip-172-20-73-221.ec2.internal;1766.20;5;0
2021/10/14 10:39:26 ;ip-172-20-49-155.ec2.internal;3097.50;10;1
2021/10/14 10:40:26 ;ip-172-20-49-155.ec2.internal;3421.60;10;1
2021/10/14 10:40:26 ;ip-172-20-58-122.ec2.internal;125.00;0;0
2021/10/14 10:40:26 ;ip-172-20-73-221.ec2.internal;2039.90;5;0
2021/10/14 10:41:26 ;ip-172-20-49-155.ec2.internal;3127.10;10;1
2021/10/14 10:41:26 ;ip-172-20-58-122.ec2.internal;132.10;0;0
2021/10/14 10:41:26 ;ip-172-20-73-221.ec2.internal;1970.90;6;0
2021/10/14 10:42:26 ;ip-172-20-49-155.ec2.internal;950.70;10;1
2021/10/14 10:42:26 ;ip-172-20-58-122.ec2.internal;242.70;2;0
2021/10/14 10:42:26 ;ip-172-20-73-221.ec2.internal;664.40;6;0
2021/10/14 10:43:27 ;ip-172-20-49-155.ec2.internal;995.70;9;0
2021/10/14 10:43:27 ;ip-172-20-58-122.ec2.internal;610.50;5;0
2021/10/14 10:43:27 ;ip-172-20-73-221.ec2.internal;1077.80;10;1
2021/10/14 10:44:27 ;ip-172-20-49-155.ec2.internal;906.30;8;0
2021/10/14 10:44:27 ;ip-172-20-58-122.ec2.internal;859.40;8;0
2021/10/14 10:44:27 ;ip-172-20-73-221.ec2.internal;1031.00;10;1
